AllStar,Year,Player,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SsnScr,SsnScr_norm,PosGrp,Percentile
False,2018,Jerian Grant,14.3,2.3,1.0,3.3,0.094,-0.1,-1.8,-2.0,0.0,0.3181059251589057,0.5352009362562922,BackCourt,0.31666666666666665
False,2018,Josh Gray,7.2,-0.3,0.1,-0.2,-0.11800000000000001,-5.9,0.4,-5.5,-0.1,0.14111647780104428,0.23742302505865398,BackCourt,0.8916666666666666
False,2018,Danny Green,11.4,0.1,2.9,2.9,0.078,-1.1,2.2,1.2,1.4,0.3243568664337335,0.5457179035875349,BackCourt,0.2958333333333333
True,2018,Draymond Green,16.1,2.6,3.4,6.1,0.127,0.4,2.7,3.2,3.0,0.41363746931923134,0.6959290706067448,FrontCourt,0.06999999999999995
False,2018,Gerald Green,14.1,1.0,1.0,2.1,0.107,0.5,-2.4,-1.9,0.0,0.2613583435741231,0.43972532139849174,BackCourt,0.475
False,2018,JaMychal Green,14.0,1.3,1.3,2.6,0.079,-1.2,-0.4,-1.5,0.2,0.3118199057960351,0.5246249513963657,FrontCourt,0.3666666666666667
False,2018,Jeff Green,14.8,3.1,0.8,3.9,0.10300000000000001,-0.2,-1.7,-1.9,0.1,0.33760147860863,0.5680014521659372,FrontCourt,0.2833333333333333
False,2018,Blake Griffin,19.6,3.2,1.8,4.9,0.12,2.9,-0.1,2.8,2.4,0.40204696100530624,0.6764284879055572,FrontCourt,0.10333333333333339
False,2018,Daniel Hamilton,18.2,0.1,0.0,0.1,0.16899999999999998,0.8,-2.4,-1.6,0.0,0.14983024133890974,0.25208359575205397,BackCourt,0.8708333333333333
False,2018,Tim Hardaway,14.4,1.6,1.1,2.6,0.067,1.7,-1.8,-0.1,0.9,0.33986764252732604,0.5718141854571844,BackCourt,0.25416666666666665
True,2018,James Harden,29.8,11.6,3.8,15.4,0.289,9.6,1.3,10.9,8.3,0.5705329968050608,0.9598997374935508,BackCourt,0.008333333333333304
False,2018,Maurice Harkless,12.6,1.6,1.7,3.2,0.12300000000000001,-0.2,2.0,1.8,1.2,0.2646202647713491,0.4452133778623175,FrontCourt,0.5033333333333334
False,2018,Montrezl Harrell,24.7,4.3,1.3,5.5,0.205,2.4,0.0,2.4,1.5,0.33188598280258186,0.558385351161098,FrontCourt,0.30666666666666664
False,2018,Devin Harris,13.0,1.6,0.9,2.5,0.08900000000000001,-0.1,-1.9,-2.0,0.0,0.30900952782610597,0.5198965989773129,BackCourt,0.3458333333333333
False,2018,Gary Harris,16.5,3.9,1.5,5.5,0.114,2.4,-1.5,0.9,1.7,0.3739415115491647,0.6291421544136023,BackCourt,0.1333333333333333
False,2018,Joe Harris,13.3,3.0,0.9,4.0,0.09699999999999999,1.3,-1.2,0.1,1.1,0.3466469415685914,0.5832200943293129,BackCourt,0.22499999999999998
False,2018,Tobias Harris,17.1,4.2,2.5,6.7,0.12,1.5,-0.8,0.7,1.8,0.42808516004136066,0.7202367523871528,FrontCourt,0.05666666666666664
False,2018,Aaron Harrison,5.1,-0.3,0.2,-0.1,-0.013999999999999999,-3.6,-0.5,-4.1,-0.1,0.13902928380309154,0.23391140174860467,BackCourt,0.9
False,2018,Andrew Harrison,12.7,1.0,0.7,1.7,0.062,-0.9,-1.5,-2.5,-0.2,0.28274436462355884,0.47570647604921756,BackCourt,0.4291666666666667
False,2018,Shaquille Harrison,15.6,0.4,0.4,0.8,0.094,-0.7,0.9,0.2,0.2,0.19217433430997885,0.3233258971701079,BackCourt,0.6833333333333333
False,2018,Josh Hart,12.2,1.9,1.5,3.4,0.111,-0.3,0.2,-0.1,0.7,0.2832998849413749,0.47664111753398725,BackCourt,0.42500000000000004
False,2018,Udonis Haslem,1.8,-0.1,0.1,-0.1,-0.059000000000000004,-7.1,-0.4,-7.5,-0.1,0.12247363915152511,0.20605716887501505,FrontCourt,0.9466666666666667
False,2018,Nigel Hayes,6.4,-0.2,0.1,-0.1,-0.034,-5.1,-1.3,-6.4,-0.1,0.12487399337753369,0.21009567217690983,FrontCourt,0.94
False,2018,Gordon Hayward,7.3,0.0,0.0,0.0,0.055999999999999994,-5.9,-6.1,-12.0,0.0,0.11589568374132214,0.19499001288779433,FrontCourt,0.9566666666666667
False,2018,Reggie Hearn,13.1,0.0,0.0,0.0,0.132,2.8,-5.1,-2.3,0.0,0.11434518248195383,0.1923813543874349,BackCourt,0.95
False,2018,Myke Henry,9.7,-0.3,0.4,0.1,0.017,-2.3,1.1,-1.3,0.1,0.17489373739991035,0.29425196011371313,FrontCourt,0.7733333333333333
