Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1988,WEST,0,James Worthy,LAL,13:00,2,8,0,0,0,1,1,2,3,1,0,1,0,1,4,0.25,,0
1988,WEST,0,Xavier McDaniel,SEA,13:00,1,9,0,0,0,0,1,1,2,0,0,0,1,1,2,0.111,,
1988,WEST,0,Mark Aguirre,DAL,12:00,5,10,1,3,3,3,0,1,1,1,1,0,3,3,14,0.5,0.333,1
1988,WEST,0,Alvin Robertson,SAS,12:00,1,3,0,0,0,0,0,0,0,1,2,0,2,1,2,0.333,,
1988,WEST,0,James Donaldson,DAL,8:00,0,0,0,0,2,2,1,5,6,1,0,2,0,2,2,,,1
1989,WEST,1,John Stockton,UTA,32:00:00,5,6,1,1,0,0,0,2,2,17,5,0,12,4,11,0.833,1,
1989,WEST,1,Alex English,DEN,29:00:00,8,13,0,0,0,0,1,2,3,4,2,0,3,0,16,0.615,,
1989,WEST,1,Karl Malone,UTA,26:00:00,12,17,0,0,4,6,4,5,9,3,2,0,2,3,28,0.706,,0.667
1989,WEST,1,Dale Ellis,SEA,26:00:00,12,16,1,1,2,2,3,3,6,2,0,0,2,2,27,0.75,1,1
1989,WEST,1,Hakeem Olajuwon,HOU,25:00:00,5,12,0,0,2,3,4,3,7,3,3,2,3,2,12,0.417,,0.667
1989,WEST,0,Clyde Drexler,POR,25:00:00,7,19,0,0,0,0,6,6,12,4,2,0,6,3,14,0.368,,
1989,WEST,0,James Worthy,LAL,18:00,4,7,0,1,0,0,0,2,2,2,2,0,0,0,8,0.571,0,
1989,WEST,0,Tom Chambers,PHO,16:00,4,8,0,0,6,6,2,3,5,1,0,0,2,3,14,0.5,,1
1989,WEST,0,Chris Mullin,GSW,14:00,1,4,0,0,2,2,2,0,2,2,0,0,1,0,4,0.25,,1
1989,WEST,0,Kareem Abdul-Jabbar,LAL,13:00,1,6,0,1,2,2,0,3,3,0,0,2,0,3,4,0.167,0,1
1989,WEST,0,Mark Eaton,UTA,9:00,0,0,0,0,0,0,0,5,5,0,0,2,0,1,0,,,
1989,WEST,0,Kevin Duckworth,POR,7:00,2,5,0,0,1,2,1,0,1,0,0,0,0,2,5,0.4,,0.5
1989,EAST,1,Michael Jordan,CHI,33:00:00,13,23,0,1,2,4,1,1,2,3,5,0,4,1,28,0.565,0,0.5
1989,EAST,1,Isiah Thomas,DET,33:00:00,7,13,1,3,4,6,1,1,2,14,4,0,6,2,19,0.538,0.333,0.667
1989,EAST,1,Charles Barkley,PHI,20:00,6,11,0,0,5,8,3,2,5,0,2,1,1,0,17,0.545,,0.625
1989,EAST,1,Moses Malone,ATL,19:00,3,9,0,0,3,3,4,4,8,0,1,1,1,1,9,0.333,,1
1989,EAST,1,Dominique Wilkins,ATL,15:00,3,8,0,0,3,3,1,1,2,0,3,0,2,0,9,0.375,,1
1989,EAST,0,Mark Price,CLE,20:00,3,9,1,4,2,2,1,2,3,1,2,0,2,2,9,0.333,0.25,1
1989,EAST,0,Terry Cummings,MIL,19:00,4,9,0,0,2,2,2,3,5,1,3,1,0,4,10,0.444,,1
1989,EAST,0,Larry Nance,CLE,17:00,5,9,0,0,0,0,3,3,6,1,1,1,0,1,10,0.556,,
1989,EAST,0,Patrick Ewing,NYK,17:00,2,8,0,0,0,4,1,5,6,2,1,2,3,2,4,0.25,,0
1989,EAST,0,Kevin McHale,BOS,16:00,5,7,0,0,0,0,1,2,3,0,0,2,1,3,10,0.714,,
1989,EAST,0,Mark Jackson,NYK,16:00,3,5,1,1,2,4,1,1,2,4,1,1,2,1,9,0.6,1,0.5
1989,EAST,0,Brad Daugherty,CLE,15:00,0,3,0,0,0,0,2,1,3,0,1,0,1,0,0,0,,
1990,EAST,1,Michael Jordan,CHI,29:00:00,8,17,1,1,0,0,1,4,5,2,5,1,5,1,17,0.471,1,
1990,EAST,1,Isiah Thomas,DET,27:00:00,7,12,1,1,0,0,1,3,4,9,3,0,1,0,15,0.583,1,
1990,EAST,1,Patrick Ewing,NYK,27:00:00,5,9,0,0,2,2,1,9,10,1,1,5,5,5,12,0.556,,1
1990,EAST,1,Larry Bird,BOS,23:00,3,8,0,1,2,2,2,6,8,3,3,0,3,1,8,0.375,0,1
1990,EAST,1,Charles Barkley,PHI,22:00,7,12,1,1,2,3,2,2,4,0,1,1,2,1,17,0.583,1,0.667
1990,EAST,0,Robert Parish,BOS,21:00,7,11,0,0,0,1,2,2,4,2,0,1,1,4,14,0.636,,0
1990,EAST,0,Kevin McHale,BOS,20:00,6,11,1,1,0,0,2,6,8,1,0,0,0,4,13,0.545,1,
1990,EAST,0,Joe Dumars,DET,18:00,3,4,2,2,1,2,0,1,1,5,0,0,3,0,9,0.75,1,0.5
